x0,x1,x2,x3,x4,obj_1,obj_2,obj_3,obj_4,constraint_violation,feasible,profile_id,algorithm,seed,runtime_sec
0.0002152844341084401,0.05663244486009794,0.00017620002323299571,4.920483688171677e-05,0.6776935474543475,26.547372046168064,2.546092337561078,1.3034477660696395,0.3451371623843825,0.0,True,STU_0087,nsga3,9,37.5611509999726
0.0001956727362359718,0.7788461708026716,3.5628248749130836e-05,0.04752030345864093,0.07445387790475516,36.42428240772712,2.2844225935870845,0.1341739095147334,0.0,0.0,True,STU_0087,nsga3,9,37.5611509999726
0.0001676941154005815,0.7666114276833743,0.00025864628067673616,0.11948908996276059,0.00030538833083658705,36.81735578169332,3.384157951474823,0.0451291466599162,0.0,0.0,True,STU_0087,nsga3,9,37.5611509999726
0.013349892042714306,0.4156918154486057,8.49553137483158e-06,0.7034446386825928,0.031236849538001592,31.90022772691855,10.255667543556298,0.23722802264527845,0.0,0.0,True,STU_0087,nsga3,9,37.5611509999726
8.24435600274494e-06,5.204691890403623e-05,0.0006244645227723337,0.12168074340347607,0.7967052545744747,25.96635396212249,4.416289402810187,1.2690353354046053,0.0,0.0,True,STU_0087,nsga3,9,37.5611509999726
0.0005587166273089,0.005763819522359437,5.173385252734688e-07,0.2351270880024745,0.30211343971510524,26.62110404104711,8.408089395364557,0.927965188505191,0.0,0.0,True,STU_0087,nsga3,9,37.5611509999726
4.1926458239215045e-05,0.4058262859063809,0.00012311071291994048,0.007802551579704574,0.38198946545903967,28.461107031418962,2.1458825353165785,0.6816131537805846,0.049771156928250515,0.0,True,STU_0087,nsga3,9,37.5611509999726
0.11824329301123604,0.8910670352727872,0.00018540395501399996,0.00048818479837007633,0.7222858403325944,30.78681414414913,1.832633969992624,0.5893369453545343,0.10426951379757965,0.0,True,STU_0087,nsga3,9,37.5611509999726
0.16899416301088357,0.9488928063580434,0.00011850588205419278,7.5357769716425e-05,0.3806370010658657,35.374820250262445,1.5664289190658367,0.3589429722929342,0.10348317728441359,0.0,True,STU_0087,nsga3,9,37.5611509999726
0.11024532357574057,0.7934720387383074,0.0001059188274529699,8.683244056471021e-06,0.000949016149876164,43.96447709319344,1.2437427691842404,0.0015734671089864304,0.0,0.0,True,STU_0087,nsga3,9,37.5611509999726
0.1156105316116551,0.6087186930925733,0.00018540395501399996,0.00048818479837007633,0.6941073904274158,29.592146134953108,1.9035411824827226,0.6913306767413978,0.24344659541100067,0.0,True,STU_0087,nsga3,9,37.5611509999726
0.000352983677941832,0.0024061505452983023,0.0012790665406048965,0.027875655880384487,0.3310568684670119,25.971014232128464,3.6947041667487577,1.3167394237818337,0.1320104309969128,0.0,True,STU_0087,nsga3,9,37.5611509999726
0.054312843141000156,0.7474210266397772,0.00016617980009564812,0.007141909300052485,0.7511860508475321,28.99469560273495,2.0215974042235008,0.6818912388493171,0.19582007826856074,0.0,True,STU_0087,nsga3,9,37.5611509999726
0.02766500071276486,0.9889276638148725,0.0005509741425103042,0.1853153547918605,0.42727563568156113,31.18524917886135,3.3746367436548663,0.40819784271032594,0.0,0.0,True,STU_0087,nsga3,9,37.5611509999726
0.00018666637745066552,0.39507388585454317,0.007333063853355843,0.9063782538831083,0.790747174250536,28.72880763447466,8.221229285401146,0.6770833785383716,0.0,0.0,True,STU_0087,nsga3,9,37.5611509999726
0.0020154855104268987,0.7795629988229683,0.0027580499077861052,0.036583708459398165,0.4307732218582362,30.683996739915678,2.286943889081439,0.4975840293252512,0.0023768922493614397,0.0,True,STU_0087,nsga3,9,37.5611509999726
0.0008557620573026708,0.8315559167123975,3.328432698552148e-05,4.060383992103135e-05,0.1632173117373755,35.41463450196287,1.613544626209687,0.2316600027780728,0.003954894644698448,0.0,True,STU_0087,nsga3,9,37.5611509999726
0.0001829664073503181,0.621355980921192,1.715410393931811e-05,0.7984212962644154,0.26535507080773174,31.40244522993511,8.522969698920079,0.37867848373484214,0.0,0.0,True,STU_0087,nsga3,9,37.5611509999726
