profile_id,archetype,seed,raw_hv_pi,raw_hv_can,raw_hv_nsga2
ECO__0000,eco_conscious,0,6.329354583187822e-06,6.400842670272889e-06,7.031602761678444e-06
ECO__0000,eco_conscious,1,6.5919207611448e-06,6.271897914573343e-06,6.88303818189071e-06
ECO__0000,eco_conscious,2,7.156724840827559e-06,6.960301817539296e-06,7.472173503549026e-06
ECO__0000,eco_conscious,4,7.72212909646528e-06,7.650301830698277e-06,8.17882967539634e-06
ECO__0000,eco_conscious,3,8.137933062281561e-06,8.278527230948379e-06,8.678135212965123e-06
ECO__0001,eco_conscious,0,0.0259572521647889,0.025366985890959346,0.027449421620294734
ECO__0001,eco_conscious,2,0.01875002624755165,0.021348515498509538,0.023073086770151446
ECO__0001,eco_conscious,1,0.022979344906935355,0.02321766477899794,0.024958550887755136
ECO__0001,eco_conscious,3,0.019431167786533157,0.01933038355711739,0.019883708427019402
ECO__0001,eco_conscious,4,0.025102064868421925,0.02439658738398811,0.02602725776424566
ECO__0002,eco_conscious,0,1.8880629868746548e-05,1.8702564418866203e-05,1.9964193476336325e-05
ECO__0002,eco_conscious,1,1.1048909949426305e-05,1.2152481740478126e-05,1.291670284565135e-05
ECO__0002,eco_conscious,2,2.203100685749462e-05,2.1809767768873767e-05,2.298659231409029e-05
ECO__0002,eco_conscious,3,1.8342956025497037e-05,1.7999413650590538e-05,1.9378936646131176e-05
ECO__0002,eco_conscious,4,1.7706555591404666e-05,2.0335626782276808e-05,1.9533977194600643e-05
ECO__0003,eco_conscious,0,7.242342284180121e-07,7.816944171690512e-07,8.100247553801998e-07
ECO__0003,eco_conscious,1,1.0404866961926041e-06,1.1037377487225414e-06,1.1341163574897185e-06
ECO__0003,eco_conscious,2,1.3318185140087544e-06,1.2222693589063368e-06,1.345260778458646e-06
ECO__0003,eco_conscious,3,1.262257059003818e-06,1.3577460487928642e-06,1.3956982965520376e-06
ECO__0003,eco_conscious,4,1.3344764714431312e-06,1.1737140497045575e-06,1.32613346927345e-06
ECO__0004,eco_conscious,0,0.015817543725990417,0.015865107170554872,0.016778198297305442
ECO__0004,eco_conscious,1,0.019407854617443612,0.018494798795665172,0.01964077312129783
ECO__0004,eco_conscious,2,3.124193472668007e-06,2.954133032481212e-06,3.3342903495034938e-06
ECO__0004,eco_conscious,3,0.05598776767682382,0.05701361175297431,0.05890903143312024
ECO__0004,eco_conscious,4,4.254277425149327e-06,4.32355185952803e-06,4.488085203093701e-06
COST_0005,cost_sensitive,0,7.955501502086248e-06,7.82861097474447e-06,8.100448539141978e-06
COST_0005,cost_sensitive,3,7.603185610371831e-06,8.511979668352962e-06,8.734983784607333e-06
COST_0005,cost_sensitive,1,4.013575747764661e-06,4.1699818866156215e-06,4.763953502343473e-06
COST_0005,cost_sensitive,2,7.820118344885357e-06,7.4967380671263475e-06,7.81055581233506e-06
COST_0005,cost_sensitive,4,4.0783501963539056e-06,4.331557288272571e-06,4.467925399893132e-06
COST_0006,cost_sensitive,0,0.0015716042444020558,0.0018410044933584717,0.0018259109668457482
COST_0006,cost_sensitive,1,0.0014260246121327283,0.0014317328275039469,0.0015346793966044521
COST_0006,cost_sensitive,3,0.001661996100724083,0.0016068577387574156,0.0016607111826573754
COST_0006,cost_sensitive,2,0.0009061794831975198,0.0008814468342247801,0.0009866902036306366
COST_0006,cost_sensitive,4,0.0018151465428270094,0.0017479933347490351,0.0018382058834441864
COST_0007,cost_sensitive,0,10.49713400954176,9.985445092429098,10.417776387241467
COST_0007,cost_sensitive,1,7.472877367478445,7.66956116201699,8.225502173946449
COST_0007,cost_sensitive,3,13.044548694074308,12.292078045125164,12.865175752832178
COST_0007,cost_sensitive,2,0.0003348789684771866,0.00030958196369865925,0.00032478767395227647
COST_0007,cost_sensitive,4,16.538182235236928,16.02165520334389,16.56091998642404
COST_0008,cost_sensitive,0,0.0002265650805769868,0.00022206850794721656,0.00022994079667002093
COST_0008,cost_sensitive,1,9.780249172880056e-05,0.00010189490137484587,9.950236816423175e-05
COST_0008,cost_sensitive,2,3.157808603383405e-05,3.205738785831578e-05,3.3927752439175476e-05
COST_0008,cost_sensitive,3,3.9858490015433676e-05,3.9644357487123524e-05,4.415097478167252e-05
COST_0008,cost_sensitive,4,7.52953330217398e-05,5.778781676019896e-05,7.675601095781927e-05
COST_0009,cost_sensitive,1,1.3859816824983554e-05,1.597783262928401e-05,1.632465677278061e-05
COST_0009,cost_sensitive,0,6.127196945238109e-06,6.118752974033114e-06,7.01520082559209e-06
COST_0009,cost_sensitive,3,1.4536334560233502e-05,1.4757869218828558e-05,1.607941382239317e-05
COST_0009,cost_sensitive,2,2.0182384960098135e-05,1.992093346640454e-05,2.0947120288212165e-05
COST_0009,cost_sensitive,4,1.8363816807094587e-05,1.8883670458170592e-05,1.9416989623272698e-05
TIME_0010,time_sensitive,0,2.4528557088503637e-05,2.599787287788099e-05,2.6059118267272012e-05
TIME_0010,time_sensitive,1,2.0526454614024942e-05,2.273474797190134e-05,2.317738903467605e-05
TIME_0010,time_sensitive,2,2.6473104725450963e-05,2.6480564398964007e-05,2.7951686550456555e-05
TIME_0010,time_sensitive,3,1.9883889452881118e-05,2.198999673803166e-05,2.311177504576266e-05
TIME_0010,time_sensitive,4,8.020391285204798e-05,8.191688282210266e-05,8.396172428435044e-05
TIME_0011,time_sensitive,0,0.10125906110320762,0.09821784098260611,0.11133401980870461
TIME_0011,time_sensitive,1,0.0753042212647852,0.0779487202017865,0.07656350375798399
TIME_0011,time_sensitive,2,0.20070702580875288,0.1840289708053549,0.2138377110589205
TIME_0011,time_sensitive,3,0.24059119811059845,0.242009121092331,0.25161746099251325
TIME_0011,time_sensitive,4,0.2512327883263341,0.2511221894063516,0.2664348337739331
