profile_id,archetype,seed,algorithm,raw_hv,nHV
ECO__0004,eco_conscious,3,NSGA-II,0.05890903143312024,1.0
ECO__0004,eco_conscious,4,PI-NSGA-III,4.254277425149327e-06,7.221774525319148e-05
ECO__0004,eco_conscious,4,canonical-NSGA-III,4.32355185952803e-06,7.33937013450405e-05
ECO__0004,eco_conscious,4,NSGA-II,4.488085203093701e-06,7.618670845384803e-05
COST_0005,cost_sensitive,0,PI-NSGA-III,7.955501502086248e-06,0.9107631677697356
COST_0005,cost_sensitive,0,canonical-NSGA-III,7.82861097474447e-06,0.8962364633738575
COST_0005,cost_sensitive,0,NSGA-II,8.100448539141978e-06,0.9273570207899499
COST_0005,cost_sensitive,3,PI-NSGA-III,7.603185610371831e-06,0.8704292758699861
COST_0005,cost_sensitive,3,canonical-NSGA-III,8.511979668352962e-06,0.9744700022629297
COST_0005,cost_sensitive,3,NSGA-II,8.734983784607333e-06,1.0
COST_0005,cost_sensitive,1,PI-NSGA-III,4.013575747764661e-06,0.45948290766576216
COST_0005,cost_sensitive,1,canonical-NSGA-III,4.1699818866156215e-06,0.47738862365879897
COST_0005,cost_sensitive,1,NSGA-II,4.763953502343473e-06,0.5453877900424321
COST_0005,cost_sensitive,2,PI-NSGA-III,7.820118344885357e-06,0.8952642085799702
COST_0005,cost_sensitive,2,canonical-NSGA-III,7.4967380671263475e-06,0.8582429288920943
COST_0005,cost_sensitive,2,NSGA-II,7.81055581233506e-06,0.8941694689918845
COST_0005,cost_sensitive,4,PI-NSGA-III,4.0783501963539056e-06,0.4668984278529192
COST_0005,cost_sensitive,4,canonical-NSGA-III,4.331557288272571e-06,0.49588612813518684
COST_0005,cost_sensitive,4,NSGA-II,4.467925399893132e-06,0.5114978470557036
COST_0006,cost_sensitive,0,PI-NSGA-III,0.0015716042444020558,0.8536667075347765
COST_0006,cost_sensitive,0,canonical-NSGA-III,0.0018410044933584717,1.0
COST_0006,cost_sensitive,0,NSGA-II,0.0018259109668457482,0.9918014722032595
COST_0006,cost_sensitive,1,PI-NSGA-III,0.0014260246121327283,0.7745905114719671
COST_0006,cost_sensitive,1,canonical-NSGA-III,0.0014317328275039469,0.7776911097550301
COST_0006,cost_sensitive,1,NSGA-II,0.0015346793966044521,0.833609804941213
COST_0006,cost_sensitive,3,PI-NSGA-III,0.001661996100724083,0.9027659121527559
COST_0006,cost_sensitive,3,canonical-NSGA-III,0.0016068577387574156,0.872815761479261
COST_0006,cost_sensitive,3,NSGA-II,0.0016607111826573754,0.90206796813831
COST_0006,cost_sensitive,2,PI-NSGA-III,0.0009061794831975198,0.49222013659750086
COST_0006,cost_sensitive,2,canonical-NSGA-III,0.0008814468342247801,0.478785813616778
