archetype,trip_distance_bin,algorithm,mean_norm_hv,median_norm_hv,std_norm_hv,n_runs,plan
comfort_seeking,long,nsga2,0.9725017096309352,0.9732833541627737,0.012717407566384955,360,main_nsga2_vs_nsga3_150profiles
comfort_seeking,long,nsga3,0.9937236721847725,0.9945279757327459,0.004442321198900424,360,main_nsga2_vs_nsga3_150profiles
comfort_seeking,medium,nsga2,0.982165897500211,0.9835275835157373,0.009585674094049458,480,main_nsga2_vs_nsga3_150profiles
comfort_seeking,medium,nsga3,0.9922746126135087,0.9932185829718929,0.005562014659338468,480,main_nsga2_vs_nsga3_150profiles
comfort_seeking,short,nsga2,0.9622101653689008,0.9733021296522445,0.02840052783034997,120,main_nsga2_vs_nsga3_150profiles
comfort_seeking,short,nsga3,0.994637970457078,0.9951068680235714,0.003583346901589497,120,main_nsga2_vs_nsga3_150profiles
cost_sensitive,long,nsga2,0.9728322804778607,0.9757159422426418,0.01634864598388126,450,main_nsga2_vs_nsga3_150profiles
cost_sensitive,long,nsga3,0.9935451315297766,0.9946921060521391,0.004785397658305246,450,main_nsga2_vs_nsga3_150profiles
cost_sensitive,medium,nsga2,0.9784820458366786,0.9810722617659922,0.013803757947953464,690,main_nsga2_vs_nsga3_150profiles
cost_sensitive,medium,nsga3,0.99276794176267,0.9934611442504907,0.004669191654270688,690,main_nsga2_vs_nsga3_150profiles
cost_sensitive,short,nsga2,0.9762482489576186,0.9820871437651553,0.016577948481338308,180,main_nsga2_vs_nsga3_150profiles
cost_sensitive,short,nsga3,0.9936082450670339,0.9954945088334217,0.005797332016092032,180,main_nsga2_vs_nsga3_150profiles
eco_conscious,long,nsga2,0.9633408515845002,0.9623909242279189,0.016305978562348448,390,main_nsga2_vs_nsga3_150profiles
eco_conscious,long,nsga3,0.9935143998481599,0.9940961183522411,0.0045065985602277155,390,main_nsga2_vs_nsga3_150profiles
eco_conscious,medium,nsga2,0.9726106063537975,0.97633609164762,0.019335709014022196,450,main_nsga2_vs_nsga3_150profiles
eco_conscious,medium,nsga3,0.9925446910618754,0.9935830542295823,0.005549809075265916,450,main_nsga2_vs_nsga3_150profiles
eco_conscious,short,nsga2,0.9629172157715247,0.9746023605155987,0.03263926697935407,150,main_nsga2_vs_nsga3_150profiles
eco_conscious,short,nsga3,0.9890873640472501,0.993164954248716,0.011584742582181798,150,main_nsga2_vs_nsga3_150profiles
time_sensitive,long,nsga2,0.973584728242196,0.9775569048534312,0.018363263503946493,480,main_nsga2_vs_nsga3_150profiles
time_sensitive,long,nsga3,0.993064974557621,0.9942245072892093,0.005047597901789883,480,main_nsga2_vs_nsga3_150profiles
time_sensitive,medium,nsga2,0.9762830354696896,0.981344221275822,0.017915561187317006,630,main_nsga2_vs_nsga3_150profiles
time_sensitive,medium,nsga3,0.9935330826439998,0.9943393100476132,0.004405571246541669,630,main_nsga2_vs_nsga3_150profiles
time_sensitive,short,nsga2,0.9811272242881822,0.9863472191139212,0.015327636273794363,120,main_nsga2_vs_nsga3_150profiles
time_sensitive,short,nsga3,0.9917937966344282,0.9939829208028571,0.007563667284569037,120,main_nsga2_vs_nsga3_150profiles
comfort_seeking,long,moead,0.34640943420711107,0.3314580686143325,0.06670181101283308,20,extended_benchmark_30profiles
comfort_seeking,long,nsga2,0.9708389055538829,0.971093057373051,0.009364453877191838,20,extended_benchmark_30profiles
comfort_seeking,long,nsga3,0.9936643070565557,0.9937854785019916,0.004521133383192906,20,extended_benchmark_30profiles
comfort_seeking,long,smsemoa,0.9113599312219709,0.9228541799240477,0.051146331025868394,10,extended_benchmark_30profiles
comfort_seeking,medium,moead,0.2283758900228043,0.1826941448775948,0.11976805537316332,30,extended_benchmark_30profiles
comfort_seeking,medium,nsga2,0.9854735835291304,0.9880523081701902,0.010862342795363165,30,extended_benchmark_30profiles
comfort_seeking,medium,nsga3,0.9914633187313443,0.9916453143818122,0.004989051039240155,30,extended_benchmark_30profiles
comfort_seeking,medium,smsemoa,0.9833315713028097,0.985328258269746,0.005868085975095414,15,extended_benchmark_30profiles
comfort_seeking,short,moead,0.16989656695406047,0.17318415386668995,0.018330846806088413,10,extended_benchmark_30profiles
comfort_seeking,short,nsga2,0.9210423438470692,0.9230780005946174,0.027985635379293744,10,extended_benchmark_30profiles
comfort_seeking,short,nsga3,0.9948474107414439,0.9962621839129754,0.003883213456494157,10,extended_benchmark_30profiles
comfort_seeking,short,smsemoa,0.9729209263851889,0.968839048701746,0.008244543677676316,5,extended_benchmark_30profiles
cost_sensitive,long,moead,0.3189461999590456,0.28627865214972126,0.13595298852982762,30,extended_benchmark_30profiles
cost_sensitive,long,nsga2,0.9745078383374757,0.9852930769480359,0.02385505434893294,30,extended_benchmark_30profiles
cost_sensitive,long,nsga3,0.9904098824322976,0.9911912011350739,0.008108516144382483,30,extended_benchmark_30profiles
cost_sensitive,long,smsemoa,0.9484548707278289,0.9410861508566152,0.022669531164236378,15,extended_benchmark_30profiles
cost_sensitive,medium,moead,0.3953237546491924,0.41414771157790425,0.1622904503270386,40,extended_benchmark_30profiles
cost_sensitive,medium,nsga2,0.9879244856196209,0.9913437907840092,0.010621201076996989,40,extended_benchmark_30profiles
cost_sensitive,medium,nsga3,0.9890021705947671,0.9890133732757223,0.006217694724921781,40,extended_benchmark_30profiles
cost_sensitive,medium,smsemoa,0.9707065671224097,0.9816540775591174,0.0193470091105254,20,extended_benchmark_30profiles
cost_sensitive,short,moead,0.1474772897333006,0.1366840247903665,0.02903758946369581,20,extended_benchmark_30profiles
cost_sensitive,short,nsga2,0.9733316132958745,0.9821343341259945,0.024972265057665942,20,extended_benchmark_30profiles
cost_sensitive,short,nsga3,0.9908677716261532,0.9922540149012429,0.0062573832012737,20,extended_benchmark_30profiles
cost_sensitive,short,smsemoa,0.9692541667239395,0.969931607300536,0.01619468305534906,10,extended_benchmark_30profiles
eco_conscious,long,moead,0.3086133928909685,0.21661234014037706,0.17491944277531823,30,extended_benchmark_30profiles
eco_conscious,long,nsga2,0.9526482313790471,0.95719692661032,0.017323835229757868,30,extended_benchmark_30profiles
eco_conscious,long,nsga3,0.9949422874028894,0.9954997894386067,0.0034261618617537288,30,extended_benchmark_30profiles
eco_conscious,long,smsemoa,0.9018417814970199,0.9113219536188631,0.0695328066098054,15,extended_benchmark_30profiles
eco_conscious,medium,moead,0.33189788862591363,0.33435726570142205,0.11310455890432186,30,extended_benchmark_30profiles
eco_conscious,medium,nsga2,0.9711158440326084,0.9745645289763762,0.015195769173031549,30,extended_benchmark_30profiles
eco_conscious,medium,nsga3,0.9866304491980542,0.9860503296073196,0.008228914677848054,30,extended_benchmark_30profiles
eco_conscious,medium,smsemoa,0.9470737560786353,0.9534355764070838,0.026992199152047633,15,extended_benchmark_30profiles
eco_conscious,short,moead,0.2938207166190243,0.232219003938628,0.1726243540662147,20,extended_benchmark_30profiles
eco_conscious,short,nsga2,0.9749775604459133,0.9801661860435147,0.01917603073983244,20,extended_benchmark_30profiles
eco_conscious,short,nsga3,0.9934166268874774,0.9926369342155892,0.004220772138367677,20,extended_benchmark_30profiles
eco_conscious,short,smsemoa,0.9559957843877924,0.9631572049877268,0.029856011013558104,10,extended_benchmark_30profiles
time_sensitive,long,moead,0.31892665734998127,0.2305239633326049,0.16526194618181536,30,extended_benchmark_30profiles
time_sensitive,long,nsga2,0.9754732908152962,0.9762851974744753,0.021314521057752,30,extended_benchmark_30profiles
time_sensitive,long,nsga3,0.992569741801499,0.9941963367895181,0.006553055058360146,30,extended_benchmark_30profiles
time_sensitive,long,smsemoa,0.97660917535577,0.982343634349598,0.013613026241553649,15,extended_benchmark_30profiles
time_sensitive,medium,moead,0.2598589141672792,0.3068596998268151,0.13045025881208458,30,extended_benchmark_30profiles
time_sensitive,medium,nsga2,0.975168973446399,0.975777312567959,0.01819359196313411,30,extended_benchmark_30profiles
time_sensitive,medium,nsga3,0.9883587203548373,0.9891878910357139,0.006837304884066246,30,extended_benchmark_30profiles
time_sensitive,medium,smsemoa,0.9567512310342919,0.9622436012950428,0.034452888535856076,15,extended_benchmark_30profiles
time_sensitive,short,moead,0.30088000065825515,0.3050886637925374,0.02992322624855471,10,extended_benchmark_30profiles
time_sensitive,short,nsga2,0.9530194700954032,0.95263001343122,0.019100271815074822,10,extended_benchmark_30profiles
time_sensitive,short,nsga3,0.9785224432370458,0.9744427366347386,0.012479109097451046,10,extended_benchmark_30profiles
time_sensitive,short,smsemoa,0.9588295254172887,0.9606801682711158,0.004906961979299385,5,extended_benchmark_30profiles
comfort_seeking,long,nsga2,0.9734648751538881,0.9740255549084864,0.005512564854015732,30,representative_curves_10profiles
comfort_seeking,long,nsga3,0.9961375109948414,0.9966552732312627,0.0022116148395839603,30,representative_curves_10profiles
comfort_seeking,medium,nsga2,0.993465211983085,0.9934452939097296,0.0034379330798072058,30,representative_curves_10profiles
comfort_seeking,medium,nsga3,0.9910266719029927,0.9906217003313145,0.004215217868400813,30,representative_curves_10profiles
