plan,algorithm,metric,n,mean,median,std,min,q25,q75,max
main_nsga2_vs_nsga3_150profiles,nsga2,normalized_hv,4500,0.9741304055390793,0.9778444672724764,0.018000854151907594,0.8534896391916651,0.965144958092517,0.9870969863197102,1.0
main_nsga2_vs_nsga3_150profiles,nsga2,hypervolume,4500,10.27848569721441,2.4013428020814773,16.841599256165143,7.828058922343481e-07,0.3732479528578733,12.77996239235519,105.25173754912058
main_nsga2_vs_nsga3_150profiles,nsga2,igd,4500,0.15931414887900988,0.12269126012899405,0.1182906149825372,0.0425480679552482,0.0780597571775011,0.1958819360864422,0.8167102798925708
main_nsga2_vs_nsga3_150profiles,nsga2,n_feasible_run,4500,168.0,168.0,0.0,168.0,168.0,168.0,168.0
main_nsga2_vs_nsga3_150profiles,nsga3,normalized_hv,4500,0.9929854850195073,0.9940570403443746,0.005407283029727253,0.9479354044230722,0.9907341537455192,0.9965959418306404,1.0
main_nsga2_vs_nsga3_150profiles,nsga3,hypervolume,4500,10.572977482110147,2.44929461275397,17.362066411933622,8.079868967835218e-07,0.37670802778554163,13.10264880588543,107.02717318010212
main_nsga2_vs_nsga3_150profiles,nsga3,igd,4500,0.17163619031220465,0.1449999769623121,0.107955408012828,0.0503538726316827,0.095255110133725,0.21191412645335383,0.9009474636547956
main_nsga2_vs_nsga3_150profiles,nsga3,n_feasible_run,4500,170.0,170.0,0.0,170.0,170.0,170.0,170.0
extended_benchmark_30profiles,moead,normalized_hv,300,0.2975781098791978,0.29718487136914945,0.14741280751774374,0.0306149619808938,0.1798622207058309,0.39046531072940527,0.6677889425120003
extended_benchmark_30profiles,moead,hypervolume,300,2.370150766020868,1.3788521429842615,3.106123557691844,8.62232809683858e-07,0.05349836194784208,4.09124589881325,17.337452098428678
extended_benchmark_30profiles,moead,igd,300,2.0757466727198635,1.9261479159315,0.6781796846808292,1.1050883526032842,1.7211223013145112,2.3062609010039146,4.928103173436038
extended_benchmark_30profiles,moead,n_feasible_run,300,125.0,125.0,0.0,125.0,125.0,125.0,125.0
extended_benchmark_30profiles,nsga2,normalized_hv,300,0.9722406399877389,0.9761193080869848,0.02245942330599865,0.8645110388771262,0.9605079327071226,0.9901904338410245,1.0
extended_benchmark_30profiles,nsga2,hypervolume,300,7.631593353389595,4.733153701085717,8.430876578143895,4.380584553988714e-06,0.3985156147726186,13.47440647673965,32.152439578467636
extended_benchmark_30profiles,nsga2,igd,300,0.15428731308271776,0.12335703352034319,0.10327805670510644,0.0451681832919508,0.08113540916951259,0.19587020211028566,0.5190564546389255
extended_benchmark_30profiles,nsga2,n_feasible_run,300,128.0,128.0,0.0,128.0,128.0,128.0,128.0
extended_benchmark_30profiles,nsga3,normalized_hv,300,0.9906133049086899,0.9917180600426363,0.00719240853151675,0.9644267216254234,0.9867935104282123,0.9962642570052163,1.0
extended_benchmark_30profiles,nsga3,hypervolume,300,7.8488048239934685,4.763112468043175,8.771292527648265,4.324558314234878e-06,0.40154860938806614,13.827105838119856,33.10386810128118
extended_benchmark_30profiles,nsga3,igd,300,0.1984341913605296,0.16387659056390397,0.11411466751409348,0.0570141940060854,0.12080093472921237,0.2306227887562216,0.5966010000788814
extended_benchmark_30profiles,nsga3,n_feasible_run,300,128.0,128.0,0.0,128.0,128.0,128.0,128.0
extended_benchmark_30profiles,smsemoa,normalized_hv,150,0.954332788098286,0.9654887091394717,0.039872115363349794,0.7713117789248506,0.941103001648063,0.9826576210077527,0.9938662421424012
extended_benchmark_30profiles,smsemoa,hypervolume,150,7.4408003552944155,4.744692804348952,8.230801794837848,4.219092583656545e-06,0.396644589025509,13.294938107186791,32.25854800630306
extended_benchmark_30profiles,smsemoa,igd,150,0.306971505523069,0.26352482657113846,0.1929897289693574,0.0966617234311131,0.16515192685637387,0.3874633219569902,0.9983647803709494
extended_benchmark_30profiles,smsemoa,n_feasible_run,150,128.0,128.0,0.0,128.0,128.0,128.0,128.0
representative_curves_10profiles,nsga2,normalized_hv,300,0.9744216833233543,0.9759280913888647,0.014758468755243365,0.9137906740793638,0.9658521093152782,0.9858045300019465,1.0
representative_curves_10profiles,nsga2,hypervolume,300,11.216356640213098,6.970976398938523,13.116230478417467,1.7527069375501314e-06,0.6380226060870546,18.9698979350025,44.47163796071623
representative_curves_10profiles,nsga2,igd,300,0.1891377637136524,0.14178158627739706,0.12244687685953502,0.061142574555726,0.1235559675474826,0.23293604871909507,0.5467600948218345
representative_curves_10profiles,nsga2,n_feasible_run,300,168.0,168.0,0.0,168.0,168.0,168.0,168.0
representative_curves_10profiles,nsga3,normalized_hv,300,0.9932061693481745,0.994573923753492,0.005080823903695629,0.9685555684924272,0.9908519279182533,0.9968006305578383,1.0
representative_curves_10profiles,nsga3,hypervolume,300,11.480635694255712,7.18939147057818,13.482551177621088,1.7847752473422207e-06,0.6362152096708926,19.412898768695115,45.51855288569429
representative_curves_10profiles,nsga3,igd,300,0.19397494163171394,0.1698346111176495,0.10617772959835309,0.0684169849639135,0.12944157089432629,0.22099170451474542,0.5059449110621339
representative_curves_10profiles,nsga3,n_feasible_run,300,170.0,170.0,0.0,170.0,170.0,170.0,170.0
