profile_id,algorithm,seed,hypervolume,igd,n_feasible_run,n_nondom_union,ref_point_obj1,ref_point_obj2,ref_point_obj3,ref_point_obj4,max_hv_profile,normalized_hv,normalization_scheme,plan_name
STU_0011,nsga2,0,0.00015274081555550437,0.27798751215353706,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.986463696808926,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
STU_0011,nsga2,1,0.00015225150224705824,0.2736088008501408,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.9833035080054808,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
STU_0011,nsga2,2,0.00015318301051095242,0.27277584575675295,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.9893195756967995,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
STU_0011,nsga2,3,0.0001539773473215331,0.259116568162866,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.9944497331064415,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
STU_0011,nsga2,4,0.00015293632750033406,0.26039916884188113,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.9877263942429129,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
STU_0011,nsga2,5,0.00015310133321282023,0.2778874474454766,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.9887920697438699,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
STU_0011,nsga2,6,0.00015416141409492108,0.25995471073830945,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.9956385128643315,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
STU_0011,nsga2,7,0.0001532222802077564,0.2615066529151756,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.9895731957271818,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
STU_0011,nsga2,8,0.00015293172086563542,0.2766896281235331,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.9876966426805807,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
STU_0011,nsga2,9,0.00015261140783555507,0.28360536248237295,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.985627927945492,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
STU_0011,nsga2,10,0.00015276643506662377,0.2685304541777907,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.9866291582643815,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
STU_0011,nsga2,11,0.00015282375692203897,0.28193025003093186,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.9869993666412006,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
STU_0011,nsga2,12,0.00015342066895961161,0.26391394925573386,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.990854472777122,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
STU_0011,nsga2,13,0.00015346254818715584,0.275542672331098,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.9911249462420733,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
STU_0011,nsga2,14,0.0001525526561634382,0.2689361939845574,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.9852484852178928,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
STU_0011,nsga2,15,0.00015392961441008146,0.2767078288352478,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.9941414541168421,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
STU_0011,nsga2,16,0.0001523037910597681,0.2737138514152458,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.9836412108997592,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
STU_0011,nsga2,17,0.00015314689392249644,0.2792411322829107,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.9890863197511975,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
STU_0011,nsga2,18,0.00015306216819635697,0.29099886003833053,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.9885391257826541,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
STU_0011,nsga2,19,0.00015356147364940524,0.27273258799024086,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.9917638480106945,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
STU_0011,nsga2,20,0.0001524213509778067,0.2967341664140627,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.984400461732113,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
STU_0011,nsga2,21,0.00015114508642481508,0.2905446851270208,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.976157814575415,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
STU_0011,nsga2,22,0.00015398078777123628,0.2685810827710855,168,7096,45.753804709430845,8.909994053842805,1.472996376370128,1e-06,0.00015483673251190068,0.9944719529611707,union_observed_max_per_profile,main_nsga2_vs_nsga3_150profiles
