experiment,algorithm,pop_size,config,seed,effective_pop,n_feasible,runtime_s,profile_id,archetype,hypervolume,max_hv_profile,normalized_hv,normalization_scheme
equalization,nsga2,170,equalized,1,170,170,3.950133665988687,STU_0036,comfort_seeking,22.271371062247137,23.390755185056378,0.9521441649081778,union_observed_max_per_profile
equalization,nsga2,170,equalized,2,170,170,3.570269208983518,STU_0036,comfort_seeking,22.89122244251898,23.390755185056378,0.9786440096275072,union_observed_max_per_profile
equalization,nsga2,170,equalized,3,170,170,4.16620962502202,STU_0036,comfort_seeking,22.897337021872005,23.390755185056378,0.9789054197147254,union_observed_max_per_profile
equalization,nsga2,170,equalized,4,170,170,3.8903475839761086,STU_0036,comfort_seeking,22.90515896331696,23.390755185056378,0.9792398228318148,union_observed_max_per_profile
equalization,nsga2,170,equalized,5,170,170,3.577517415978946,STU_0036,comfort_seeking,22.501576814621163,23.390755185056378,0.9619859058247388,union_observed_max_per_profile
equalization,nsga2,170,equalized,6,170,170,3.613037000002805,STU_0036,comfort_seeking,22.35211186227632,23.390755185056378,0.955595990186601,union_observed_max_per_profile
equalization,nsga2,170,equalized,7,170,170,4.3782000420033,STU_0036,comfort_seeking,22.848182434964556,23.390755185056378,0.9768039661054444,union_observed_max_per_profile
equalization,nsga2,170,equalized,8,170,170,3.7448774999938905,STU_0036,comfort_seeking,22.848235523006903,23.390755185056378,0.9768062357218774,union_observed_max_per_profile
equalization,nsga2,170,equalized,9,170,170,4.183738583000377,STU_0036,comfort_seeking,22.94848620785108,23.390755185056378,0.9810921462900072,union_observed_max_per_profile
equalization,nsga3,170,equalized,0,170,170,4.847535750013776,STU_0036,comfort_seeking,23.31216515238648,23.390755185056378,0.9966401241837584,union_observed_max_per_profile
equalization,nsga3,170,equalized,1,170,170,4.694992583012208,STU_0036,comfort_seeking,23.32093768307392,23.390755185056378,0.9970151668285144,union_observed_max_per_profile
equalization,nsga3,170,equalized,2,170,170,4.606892207986675,STU_0036,comfort_seeking,23.351496065861305,23.390755185056378,0.9983215967640005,union_observed_max_per_profile
equalization,nsga3,170,equalized,3,170,170,5.751440541003831,STU_0036,comfort_seeking,23.33164325369424,23.390755185056378,0.9974728506670916,union_observed_max_per_profile
equalization,nsga3,170,equalized,4,170,170,4.827414166997187,STU_0036,comfort_seeking,23.293628593286225,23.390755185056378,0.9958476504498578,union_observed_max_per_profile
equalization,nsga3,170,equalized,5,170,170,4.676451249979436,STU_0036,comfort_seeking,23.29244238135525,23.390755185056378,0.9957969375967846,union_observed_max_per_profile
equalization,nsga3,170,equalized,6,170,170,5.490144459006842,STU_0036,comfort_seeking,23.326980392075235,23.390755185056378,0.9972735043192668,union_observed_max_per_profile
equalization,nsga3,170,equalized,7,170,170,5.594998208049219,STU_0036,comfort_seeking,23.29435988392815,23.390755185056378,0.995878914538432,union_observed_max_per_profile
equalization,nsga3,170,equalized,8,170,170,4.948328458005562,STU_0036,comfort_seeking,23.310308559486373,23.390755185056378,0.996560751248365,union_observed_max_per_profile
equalization,nsga3,170,equalized,9,170,170,5.255231500021182,STU_0036,comfort_seeking,23.390755185056378,23.390755185056378,1.0,union_observed_max_per_profile
equalization,nsga2,168,as_published,0,168,168,4.16726091702003,STU_0036,comfort_seeking,22.941961329197273,23.390755185056378,0.9808131951145456,union_observed_max_per_profile
equalization,nsga2,168,as_published,1,168,168,4.592315499961842,STU_0036,comfort_seeking,22.884035538391107,23.390755185056378,0.9783367555832914,union_observed_max_per_profile
equalization,nsga2,168,as_published,2,168,168,4.962753041996621,STU_0036,comfort_seeking,22.659115276513536,23.390755185056378,0.968720979602648,union_observed_max_per_profile
equalization,nsga2,168,as_published,3,168,168,4.570259166997857,STU_0036,comfort_seeking,22.72316311943089,23.390755185056378,0.9714591486959772,union_observed_max_per_profile
equalization,nsga2,168,as_published,4,168,168,4.197702792007476,STU_0036,comfort_seeking,22.83067732913646,23.390755185056378,0.9760555889927944,union_observed_max_per_profile
equalization,nsga2,168,as_published,5,168,168,4.842680667003151,STU_0036,comfort_seeking,22.94363467508241,23.390755185056378,0.9808847338858208,union_observed_max_per_profile
equalization,nsga2,168,as_published,6,168,168,3.8644150419859216,STU_0036,comfort_seeking,22.706162297349245,23.390755185056378,0.9707323306883012,union_observed_max_per_profile
equalization,nsga2,168,as_published,7,168,168,4.145824499952141,STU_0036,comfort_seeking,22.546791822494356,23.390755185056378,0.963918934814845,union_observed_max_per_profile
equalization,nsga2,168,as_published,8,168,168,4.965263125021011,STU_0036,comfort_seeking,22.73660059303849,23.390755185056378,0.9720336266682056,union_observed_max_per_profile
equalization,nsga2,168,as_published,9,168,168,4.9516460000304505,STU_0036,comfort_seeking,22.874907414819933,23.390755185056378,0.977946510655372,union_observed_max_per_profile
equalization,nsga3,170,as_published,0,170,170,4.94198108400451,STU_0036,comfort_seeking,23.31216515238648,23.390755185056378,0.9966401241837584,union_observed_max_per_profile
equalization,nsga3,170,as_published,1,170,170,4.901436166022904,STU_0036,comfort_seeking,23.32093768307392,23.390755185056378,0.9970151668285144,union_observed_max_per_profile
equalization,nsga3,170,as_published,2,170,170,5.781809790991247,STU_0036,comfort_seeking,23.351496065861305,23.390755185056378,0.9983215967640005,union_observed_max_per_profile
equalization,nsga3,170,as_published,3,170,170,6.830581541988067,STU_0036,comfort_seeking,23.33164325369424,23.390755185056378,0.9974728506670916,union_observed_max_per_profile
equalization,nsga3,170,as_published,4,170,170,5.6267657080315985,STU_0036,comfort_seeking,23.293628593286225,23.390755185056378,0.9958476504498578,union_observed_max_per_profile
equalization,nsga3,170,as_published,5,170,170,5.247523583006114,STU_0036,comfort_seeking,23.29244238135525,23.390755185056378,0.9957969375967846,union_observed_max_per_profile
equalization,nsga3,170,as_published,6,170,170,4.91051462496398,STU_0036,comfort_seeking,23.326980392075235,23.390755185056378,0.9972735043192668,union_observed_max_per_profile
equalization,nsga3,170,as_published,7,170,170,5.201233291998506,STU_0036,comfort_seeking,23.29435988392815,23.390755185056378,0.995878914538432,union_observed_max_per_profile
equalization,nsga3,170,as_published,8,170,170,5.484327874961309,STU_0036,comfort_seeking,23.310308559486373,23.390755185056378,0.996560751248365,union_observed_max_per_profile
equalization,nsga3,170,as_published,9,170,170,5.253603415971156,STU_0036,comfort_seeking,23.390755185056378,23.390755185056378,1.0,union_observed_max_per_profile
nsga2_sweep,nsga2,120,sweep,0,120,120,3.3022642079740763,STU_0036,comfort_seeking,22.64182876479339,23.390755185056378,0.9679819478106696,union_observed_max_per_profile
nsga2_sweep,nsga2,120,sweep,1,120,120,3.598861999984365,STU_0036,comfort_seeking,22.74760938950585,23.390755185056378,0.9725042739978992,union_observed_max_per_profile
nsga2_sweep,nsga2,120,sweep,2,120,120,2.739263708004728,STU_0036,comfort_seeking,22.510790473098588,23.390755185056378,0.9623798075352448,union_observed_max_per_profile
nsga2_sweep,nsga2,120,sweep,3,120,120,3.126654541003518,STU_0036,comfort_seeking,22.599145706255968,23.390755185056378,0.9661571645490888,union_observed_max_per_profile
nsga2_sweep,nsga2,120,sweep,4,120,120,2.4467015000409447,STU_0036,comfort_seeking,22.50740955220764,23.390755185056378,0.9622352666316186,union_observed_max_per_profile
nsga2_sweep,nsga2,140,sweep,0,140,140,3.140322749968618,STU_0036,comfort_seeking,22.603975110129067,23.390755185056378,0.966363630900213,union_observed_max_per_profile
nsga2_sweep,nsga2,140,sweep,1,140,140,3.8378821660298854,STU_0036,comfort_seeking,22.684206945152212,23.390755185056378,0.969793696940766,union_observed_max_per_profile
nsga2_sweep,nsga2,140,sweep,2,140,140,3.2429275409667753,STU_0036,comfort_seeking,22.760790044526413,23.390755185056378,0.9730677724790848,union_observed_max_per_profile
nsga2_sweep,nsga2,140,sweep,3,140,140,3.265406207996421,STU_0036,comfort_seeking,22.761290558160276,23.390755185056378,0.9730891704044576,union_observed_max_per_profile
nsga2_sweep,nsga2,140,sweep,4,140,140,3.864204542012885,STU_0036,comfort_seeking,22.80932977752338,23.390755185056378,0.9751429398951408,union_observed_max_per_profile
nsga2_sweep,nsga2,150,sweep,0,150,150,4.083636874973308,STU_0036,comfort_seeking,22.659358453865917,23.390755185056378,0.96873137590454,union_observed_max_per_profile
nsga2_sweep,nsga2,150,sweep,1,150,150,3.7511423749965616,STU_0036,comfort_seeking,22.894340385988627,23.390755185056378,0.9787773077380206,union_observed_max_per_profile
