generation,hypervolume,igd,spacing,feasible_ratio,n_feasible,population_size,profile_id,algorithm,seed,runtime_sec
1,6255.78004037827,,0.3968309287758652,0.47023809523809523,79,168,STU_0107,nsga2,25,53.0848979158327
2,6291.994347777478,,0.1623546362466932,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
3,6706.638746139712,,0.21309417495026034,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
4,6770.0136426739355,,0.15963594368540177,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
5,6782.87768336913,,0.19203001810005646,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
6,6879.876906754604,,0.20587022740216068,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
7,6903.300605939406,,0.18309366416273024,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
8,6907.665009529765,,0.1465304073175959,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
9,6943.162410334247,,0.1772999257114694,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
10,7022.551615242444,,0.14697348294282062,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
11,7072.281553166287,,0.14817978325374706,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
12,7101.751441442975,,0.1448353584092886,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
13,7102.4059065022175,,0.12802984397660924,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
14,7140.3325982528495,,0.15170086783427755,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
15,7143.506628991841,,0.13541297686102394,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
16,7149.100038981687,,0.15840023739513862,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
17,7191.1167097401785,,0.1334573670146115,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
18,7192.275300586334,,0.14863167124912735,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
19,7196.231353777204,,0.14713772599806904,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
20,7200.777960557466,,0.15442086387968867,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
21,7209.672813379955,,0.15463047650569361,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
22,7221.410263257677,,0.15988585700539534,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
23,7220.184804011204,,0.16498237178099626,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
24,7221.913379310172,,0.16652028200315544,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
25,7232.328210206586,,0.17555993096871078,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
26,7270.154279052234,,0.20638247561088993,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
27,7269.909179057864,,0.1890576794316111,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
28,7267.09646863183,,0.1479615385419972,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
29,7268.888000767849,,0.17159246565166994,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
30,7268.409733485365,,0.128280652077027,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
31,7269.236728202935,,0.13900284631991,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
32,7268.336416538499,,0.13954823429057056,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
33,7268.871860275536,,0.1550338004736449,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
34,7269.522815583464,,0.16311281003634873,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
35,7269.668525199762,,0.13849032652191784,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
36,7275.483690800273,,0.15578429386542292,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
37,7273.54699962232,,0.1486342330322257,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
38,7272.345591915955,,0.1519938496561442,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
39,7271.623785286666,,0.14555017029220046,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
40,7276.432095330345,,0.15513482690667446,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
41,7273.811108045907,,0.13476708308899202,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
42,7273.765584924094,,0.15237943677798746,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
43,7275.14701476078,,0.14653657380010823,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
44,7277.752585853785,,0.13846661706803415,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
45,7279.566268271931,,0.13679119308891777,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
46,7278.45639097411,,0.15528572039222427,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
47,7278.783922815197,,0.15331443366658984,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
48,7280.065437143469,,0.1331003346529084,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
49,7280.177381733121,,0.12185789229254994,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
50,7279.978840635273,,0.15413283909057418,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
51,7278.224082626706,,0.14981358162358407,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
52,7279.611693036022,,0.1610163393401866,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
53,7280.856430862983,,0.18592736162754012,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
54,7282.643391908407,,0.1907483054698292,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
55,7278.328925792611,,0.17416271467484618,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
56,7275.4274968577765,,0.1523370911742396,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
57,7275.003075081039,,0.20275334485481863,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
58,7276.337802801771,,0.20596181724689974,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
59,7281.312816040554,,0.20085068092848737,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
60,7285.185184822973,,0.16481472448065432,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
61,7284.278639483351,,0.1752466935428591,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
62,7286.037928915939,,0.17731110332089473,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
63,7286.012534752306,,0.17181526635149158,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
64,7285.5594494075785,,0.17049334997506296,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
65,7284.3026350476375,,0.17411753454482454,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
66,7285.216700758889,,0.18837794208602907,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
67,7284.423027145838,,0.19017363332643036,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
68,7284.413854140775,,0.1740030912527677,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
69,7285.745659113301,,0.19208520802944995,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
70,7285.567860696225,,0.17146430264991153,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
71,7284.294952238037,,0.1772025058608949,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
72,7284.813707914563,,0.210040887652008,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
73,7284.623485635211,,0.15517243257165966,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
74,7282.1495210302755,,0.15832029112118903,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
75,7282.397355997789,,0.16151898114364346,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
76,7281.436120503196,,0.15220367715756092,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
77,7279.096972761166,,0.1520993335146577,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
78,7281.743061284994,,0.15077938554562034,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
79,7281.826982375609,,0.23578801638894661,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
80,7280.050621312619,,0.16594987749657025,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
81,7275.994211695401,,0.13257475249938988,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
82,7279.611288493288,,0.13981340436458373,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
83,7277.498131521153,,0.14145477161611272,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
84,7280.4775395157285,,0.1819078554921588,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
85,7282.59285165396,,0.1667751978831489,1.0,168,168,STU_0107,nsga2,25,53.0848979158327
