rmse,mae,r2,noise_level,model_name
0.08220436789918639,0.06586247775413594,0.6956477620583574,0.0,mlp_surrogate
0.09057534793908263,0.06869984569607611,0.6278043754797102,0.05,mlp_surrogate
0.11357462415302262,0.08972444817741698,0.4896305939450416,0.1,mlp_surrogate
0.14171182966989074,0.11319611716197304,0.34874923558661564,0.15,mlp_surrogate
0.17288409766086282,0.13941000599424286,0.2270058308698225,0.2,mlp_surrogate
0.19617406334995538,0.15950273354086858,0.19608910912368838,0.25,mlp_surrogate
0.22706152752655012,0.18081953212442045,0.14113618950112528,0.3,mlp_surrogate
0.27199892238381984,0.22443125080733348,0.0882668164763869,0.4,mlp_surrogate
0.31672728904982417,0.2694298379141685,0.049324789528545576,0.5,mlp_surrogate
0.11403970742941032,0.09222772241047703,0.42245111196271057,0.0,heuristic_direct
0.11701187414366472,0.09228086997720947,0.3833026933572421,0.05,heuristic_direct
0.1331722073101875,0.10385572253032983,0.30958466664574447,0.1,heuristic_direct
0.1553150036674331,0.12152773978446296,0.2276567699317189,0.15,heuristic_direct
0.18496612571589038,0.1439001144440564,0.1432576276473515,0.2,heuristic_direct
0.21193418108189505,0.16423560598736406,0.09386500571575218,0.25,heuristic_direct
0.23611465454791986,0.18193057763048479,0.04636254827756214,0.3,heuristic_direct
0.28594209527609815,0.21903428588557838,0.0006769466200871044,0.4,heuristic_direct
0.3314189055735021,0.25240072861764123,-0.061444487344160637,0.5,heuristic_direct
