generation,hypervolume,igd,spacing,feasible_ratio,n_feasible,population_size,profile_id,algorithm,seed,runtime_sec
66,,,0.24894039291173983,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
67,,,0.24741142761314006,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
68,,,0.2093633304743029,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
69,,,0.2514138231138211,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
70,,,0.24593200394339226,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
71,,,0.12441284681297586,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
72,,,0.12198182546148258,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
73,,,0.11296641056579143,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
74,,,0.12375283194766838,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
75,,,0.24903866624931,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
76,,,0.2503971847007059,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
77,,,0.25353452859027986,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
78,,,0.2569314489460192,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
79,,,0.12601601396521941,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
80,,,0.14867637176565507,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
81,,,0.1212877504913564,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
82,,,0.15124197163443265,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
83,,,0.14877814075443543,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
84,,,0.2513165764126117,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
85,,,0.2626228101905667,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
86,,,0.20010073780847992,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
87,,,0.19803700615727537,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
88,,,0.1877878078560554,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
89,,,0.16287849997510495,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
90,,,0.16566163673792317,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
91,,,0.11661223541316082,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
92,,,0.1378502974487018,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
93,,,0.24964399222853256,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
94,,,0.25487088238769845,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
95,,,0.19088036340270034,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
96,,,0.251692816028951,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
97,,,0.10617789131593497,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
98,,,0.1210685488773105,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
99,,,0.1405243451292093,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
100,,,0.11787950475230052,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
101,,,0.12241739019133599,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
102,,,0.12527041881950038,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
103,,,0.10465369966011001,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
104,,,0.10275071904524136,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
105,,,0.2551437148865237,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
106,,,0.237679728227591,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
107,,,0.24491816451816056,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
108,,,0.2587372470286378,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
109,,,0.25336432283925003,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
110,,,0.22169004810038406,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
111,,,0.224593351791668,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
112,,,0.10675163803808617,1.0,170,170,STU_0647,nsga3,0,8.18987370794639
