generation,hypervolume,igd,spacing,feasible_ratio,n_feasible,population_size,profile_id,algorithm,seed,runtime_sec,os,python_version,executor_seed
1,5400.149124456766,,0.5424278812942785,0.3333333333333333,3,9,STU_0468,pi_nsga3,2477129890,0.10512937500607222,Darwin,3.11.7,2477129890
2,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,pi_nsga3,2477129890,0.10512937500607222,Darwin,3.11.7,2477129890
3,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,pi_nsga3,2477129890,0.10512937500607222,Darwin,3.11.7,2477129890
4,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,pi_nsga3,2477129890,0.10512937500607222,Darwin,3.11.7,2477129890
5,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,pi_nsga3,2477129890,0.10512937500607222,Darwin,3.11.7,2477129890
6,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,pi_nsga3,2477129890,0.10512937500607222,Darwin,3.11.7,2477129890
7,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,pi_nsga3,2477129890,0.10512937500607222,Darwin,3.11.7,2477129890
8,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,pi_nsga3,2477129890,0.10512937500607222,Darwin,3.11.7,2477129890
9,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,pi_nsga3,2477129890,0.10512937500607222,Darwin,3.11.7,2477129890
10,5400.149124456766,,0.5424278812942785,0.15,3,20,STU_0468,pi_nsga3,2477129890,0.10512937500607222,Darwin,3.11.7,2477129890
