profile_id,n_pairs,mean_diff_N3_minus_N2,std_diff,paired_dz,wilcoxon_p,winner
STU_0302,30,-0.00545193578343007,0.006673056361080916,-0.8170073034640087,0.0002562887966632843,NSGA-II
STU_0403,30,-0.0038150226417115814,0.004993556487610308,-0.7639890829666534,0.0002562887966632843,NSGA-II
STU_0618,30,-0.002536781797732938,0.00525958957644707,-0.48231554208961136,0.019660815596580505,NSGA-II
STU_0236,30,-0.0022676538649706755,0.005077669909788208,-0.4465933991887354,0.023410143330693245,NSGA-II
STU_0529,30,-0.0016212944087413029,0.005194388080162574,-0.3121242355635776,0.140283040702343,NSGA-II
STU_0749,30,6.17219330883656e-05,0.0076336081136787306,0.008085551703625644,0.4521643426269293,NSGA-III
STU_0455,30,0.0002986636576992533,0.00960164782907822,0.031105458460449043,0.7921590935438871,NSGA-III
STU_0647,30,0.0015490078188813686,0.006105338953235984,0.2537136481276531,0.13473508320748806,NSGA-III
STU_0714,30,0.0026164204556615427,0.008334666217317845,0.31392024436744936,0.11417667381465435,NSGA-III
STU_0175,30,0.005088202549725825,0.015774347076342937,0.3225618483668773,0.2710056286305189,NSGA-III
STU_0597,30,0.003160612353330435,0.007561526660228388,0.4179860093536947,0.049710121005773544,NSGA-III
STU_0027,30,0.0034764163222697634,0.007107919401915229,0.489090565845899,0.02084985189139843,NSGA-III
STU_0748,30,0.009062553459073837,0.01750682342605801,0.5176583574599085,0.012047622352838516,NSGA-III
STU_0463,30,0.007264615091508545,0.013718048100643159,0.5295662355322949,0.00993151031434536,NSGA-III
STU_0367,30,0.003741308124135693,0.006263053331169539,0.5973616902663441,0.0009517744183540344,NSGA-III
STU_0436,30,0.005126220811152157,0.008239979570635497,0.6221157185171036,0.0027663204818964005,NSGA-III
STU_0241,30,0.005941649409263224,0.009191251842153381,0.646446154593799,0.001038169488310814,NSGA-III
STU_0351,30,0.006143215845267754,0.009047040326183442,0.6790304479453241,0.0007978975772857666,NSGA-III
STU_0522,30,0.007145620688685165,0.01018391950848744,0.7016572236976041,0.0012321043759584427,NSGA-III
STU_0243,30,0.005532810561074782,0.00763343761940976,0.7248124419077384,0.000283263623714447,NSGA-III
STU_0037,30,0.0022947991169713577,0.0030426312977547072,0.7542153131287356,5.5925920605659485e-05,NSGA-III
STU_0365,30,0.010125089397676328,0.012659360760891376,0.7998104792902194,0.00023163668811321259,NSGA-III
STU_0414,30,0.005866070583391192,0.006763147201821922,0.8673581112963109,3.049522638320923e-05,NSGA-III
STU_0410,30,0.0060478033578373076,0.006934007533764167,0.8721945178727288,6.286613643169403e-05,NSGA-III
STU_0471,30,0.0166256903814615,0.018700510584705895,0.8890500773309754,3.453157842159271e-05,NSGA-III
STU_0490,30,0.003543517766391006,0.003963388719993654,0.8940626359749744,2.0798295736312866e-05,NSGA-III
STU_0396,30,0.010531549538775102,0.011532026305074427,0.9132436278038071,6.917864084243774e-06,NSGA-III
STU_0171,30,0.01407111262097434,0.015118251660474456,0.9307367635480112,1.0609626770019531e-05,NSGA-III
STU_0013,30,0.005971114380469219,0.006032053173064656,0.989897504075801,4.7124922275543213e-07,NSGA-III
STU_0327,30,0.01093739619313944,0.011021802297234536,0.992341896377848,1.6838312149047852e-06,NSGA-III
STU_0283,30,0.007148133487722049,0.007130937291470787,1.0024114917223896,1.597777009010315e-05,NSGA-III
STU_0011,30,0.005821977711003782,0.005536096670994091,1.051639459532479,2.348795533180237e-06,NSGA-III
STU_0244,30,0.0221356990627968,0.020994115217636694,1.0543763732515428,3.7904828786849976e-06,NSGA-III
STU_0334,30,0.005642930067787318,0.005322830661263214,1.0601370636968823,2.7623027563095093e-06,NSGA-III
STU_0510,30,0.006354352419339304,0.005868988718105777,1.082699716177028,1.6838312149047852e-06,NSGA-III
STU_0642,30,0.005756527188993743,0.005236305914212654,1.0993489080477667,3.7904828786849976e-06,NSGA-III
STU_0130,30,0.013316730466007294,0.012111893785978612,1.0994754991513769,1.4193356037139893e-06,NSGA-III
STU_0265,30,0.004358429999524771,0.0039546208816302435,1.1021107028919703,3.7904828786849976e-06,NSGA-III
STU_0217,30,0.007556893416469598,0.0068481391858024356,1.1034958857344126,3.7904828786849976e-06,NSGA-III
STU_0187,30,0.004652484629875542,0.004154785369015824,1.119789403460235,1.6838312149047852e-06,NSGA-III
STU_0541,30,0.0060547189979518285,0.005304674914049106,1.1413930346450216,1.991167664527893e-06,NSGA-III
STU_0577,30,0.015491972846919999,0.013406342687794314,1.1555704048222286,5.587935447692871e-09,NSGA-III
STU_0073,30,0.009114970874776447,0.007869958414942358,1.1581980989213663,8.326023817062378e-07,NSGA-III
STU_0574,30,0.01313480349175045,0.011313324175318818,1.161003016284584,5.718320608139038e-07,NSGA-III
STU_0600,30,0.006012202564018495,0.0050866638114468515,1.1819539853388468,3.725290298461914e-09,NSGA-III
STU_0346,30,0.005606520044572483,0.004663138129272928,1.2023062343741138,2.0489096641540527e-07,NSGA-III
STU_0660,30,0.011976767846877475,0.009470972710317398,1.2645763231722058,1.0244548320770264e-07,NSGA-III
STU_0487,30,0.024003891087979325,0.01892665481248453,1.2682585129700634,1.862645149230957e-09,NSGA-III
STU_0730,30,0.008460591464551656,0.006594538263259898,1.2829695009411177,3.725290298461914e-09,NSGA-III
STU_0132,30,0.012080762772084978,0.009287305162221468,1.3007823648593595,2.60770320892334e-08,NSGA-III
STU_0576,30,0.00422839875039277,0.0032164784359918633,1.3146050360784904,1.30385160446167e-07,NSGA-III
STU_0182,30,0.006675648593794455,0.004890842797905738,1.3649280644744852,1.30385160446167e-08,NSGA-III
STU_0678,30,0.007166738979694691,0.005123643405791264,1.3987583467643574,1.0244548320770264e-07,NSGA-III
