plan,profile_id,algo_a,algo_b,n,mean_diff,cohen_dz_per_profile
main_nsga2_vs_nsga3_150profiles,STU_0243,nsga2,nsga3,30,-0.005532810561074782,-0.7248124419077384
main_nsga2_vs_nsga3_150profiles,STU_0244,nsga2,nsga3,30,-0.0221356990627968,-1.0543763732515428
main_nsga2_vs_nsga3_150profiles,STU_0260,nsga2,nsga3,30,-0.02909535902482904,-1.6469518852392437
main_nsga2_vs_nsga3_150profiles,STU_0265,nsga2,nsga3,30,-0.004358429999524771,-1.1021107028919703
main_nsga2_vs_nsga3_150profiles,STU_0273,nsga2,nsga3,30,-0.04121347048863875,-4.108846504513615
main_nsga2_vs_nsga3_150profiles,STU_0274,nsga2,nsga3,30,-0.007323256845022038,-1.4336073936912186
main_nsga2_vs_nsga3_150profiles,STU_0281,nsga2,nsga3,30,-0.006662953853213483,-2.3745943165098717
main_nsga2_vs_nsga3_150profiles,STU_0283,nsga2,nsga3,30,-0.007148133487722049,-1.0024114917223896
main_nsga2_vs_nsga3_150profiles,STU_0287,nsga2,nsga3,30,-0.024069499411522678,-2.9473374493825846
main_nsga2_vs_nsga3_150profiles,STU_0289,nsga2,nsga3,30,-0.008367669690928219,-2.0566764126789114
main_nsga2_vs_nsga3_150profiles,STU_0297,nsga2,nsga3,30,-0.02251706265687727,-1.9988386983108852
main_nsga2_vs_nsga3_150profiles,STU_0302,nsga2,nsga3,30,0.00545193578343007,0.8170073034640087
main_nsga2_vs_nsga3_150profiles,STU_0304,nsga2,nsga3,30,-0.011866366508688402,-1.5742771466957644
main_nsga2_vs_nsga3_150profiles,STU_0309,nsga2,nsga3,30,-0.021879493256617373,-3.5902903887170257
main_nsga2_vs_nsga3_150profiles,STU_0311,nsga2,nsga3,30,-0.00910133280779066,-2.3939466994670284
main_nsga2_vs_nsga3_150profiles,STU_0325,nsga2,nsga3,30,-0.02069389591502595,-2.1330691401958686
main_nsga2_vs_nsga3_150profiles,STU_0327,nsga2,nsga3,30,-0.01093739619313944,-0.992341896377848
main_nsga2_vs_nsga3_150profiles,STU_0328,nsga2,nsga3,30,-0.021319709146951596,-2.1390683454215234
main_nsga2_vs_nsga3_150profiles,STU_0334,nsga2,nsga3,30,-0.005642930067787318,-1.0601370636968823
main_nsga2_vs_nsga3_150profiles,STU_0346,nsga2,nsga3,30,-0.005606520044572483,-1.2023062343741138
main_nsga2_vs_nsga3_150profiles,STU_0351,nsga2,nsga3,30,-0.006143215845267754,-0.6790304479453241
main_nsga2_vs_nsga3_150profiles,STU_0354,nsga2,nsga3,30,-0.024167412517259016,-2.1310855461019207
main_nsga2_vs_nsga3_150profiles,STU_0356,nsga2,nsga3,30,-0.006877869472840503,-1.6257755391360822
main_nsga2_vs_nsga3_150profiles,STU_0359,nsga2,nsga3,30,-0.019411384282740748,-3.1151127830708463
main_nsga2_vs_nsga3_150profiles,STU_0362,nsga2,nsga3,30,-0.019713687509309054,-2.338997626189861
main_nsga2_vs_nsga3_150profiles,STU_0365,nsga2,nsga3,30,-0.010125089397676328,-0.7998104792902194
main_nsga2_vs_nsga3_150profiles,STU_0367,nsga2,nsga3,30,-0.003741308124135693,-0.5973616902663441
main_nsga2_vs_nsga3_150profiles,STU_0368,nsga2,nsga3,30,-0.028937462700669173,-2.0284688037817933
main_nsga2_vs_nsga3_150profiles,STU_0372,nsga2,nsga3,30,-0.061512998185237415,-3.3722996073881357
main_nsga2_vs_nsga3_150profiles,STU_0375,nsga2,nsga3,30,-0.07120092592717239,-2.693892795324042
main_nsga2_vs_nsga3_150profiles,STU_0379,nsga2,nsga3,30,-0.012431982563392311,-2.0291658717201613
main_nsga2_vs_nsga3_150profiles,STU_0383,nsga2,nsga3,30,-0.017459278713368654,-1.672505403351061
main_nsga2_vs_nsga3_150profiles,STU_0390,nsga2,nsga3,30,-0.02769492485099645,-1.9185493578889141
main_nsga2_vs_nsga3_150profiles,STU_0395,nsga2,nsga3,30,-0.02924239840536629,-1.5379692594724712
main_nsga2_vs_nsga3_150profiles,STU_0396,nsga2,nsga3,30,-0.010531549538775102,-0.9132436278038071
main_nsga2_vs_nsga3_150profiles,STU_0402,nsga2,nsga3,30,-0.029206689626466848,-3.17997762361289
main_nsga2_vs_nsga3_150profiles,STU_0403,nsga2,nsga3,30,0.0038150226417115814,0.7639890829666534
main_nsga2_vs_nsga3_150profiles,STU_0410,nsga2,nsga3,30,-0.0060478033578373076,-0.8721945178727288
main_nsga2_vs_nsga3_150profiles,STU_0414,nsga2,nsga3,30,-0.005866070583391192,-0.8673581112963109
main_nsga2_vs_nsga3_150profiles,STU_0422,nsga2,nsga3,30,-0.03667192604374398,-3.322098109255947
main_nsga2_vs_nsga3_150profiles,STU_0433,nsga2,nsga3,30,-0.026895861903785526,-2.274934621076446
main_nsga2_vs_nsga3_150profiles,STU_0436,nsga2,nsga3,30,-0.005126220811152157,-0.6221157185171036
main_nsga2_vs_nsga3_150profiles,STU_0442,nsga2,nsga3,30,-0.03187612966499497,-4.189045947483506
main_nsga2_vs_nsga3_150profiles,STU_0443,nsga2,nsga3,30,-0.017897794159849156,-2.370004358075591
main_nsga2_vs_nsga3_150profiles,STU_0444,nsga2,nsga3,30,-0.013675414086920705,-1.6669890507860456
main_nsga2_vs_nsga3_150profiles,STU_0455,nsga2,nsga3,30,-0.0002986636576992533,-0.031105458460449043
main_nsga2_vs_nsga3_150profiles,STU_0456,nsga2,nsga3,30,-0.021914416033307016,-2.194410602875982
main_nsga2_vs_nsga3_150profiles,STU_0460,nsga2,nsga3,30,-0.011783920976105549,-1.9536370843030613
main_nsga2_vs_nsga3_150profiles,STU_0463,nsga2,nsga3,30,-0.007264615091508545,-0.5295662355322949
main_nsga2_vs_nsga3_150profiles,STU_0466,nsga2,nsga3,30,-0.03134581236494486,-2.9936617790061866
main_nsga2_vs_nsga3_150profiles,STU_0468,nsga2,nsga3,30,-0.01085931637354433,-2.172648526737258
main_nsga2_vs_nsga3_150profiles,STU_0469,nsga2,nsga3,30,-0.01420973037206118,-2.1260782073017106
main_nsga2_vs_nsga3_150profiles,STU_0471,nsga2,nsga3,30,-0.0166256903814615,-0.8890500773309754
main_nsga2_vs_nsga3_150profiles,STU_0472,nsga2,nsga3,30,-0.011368148782597865,-1.647799863794982
main_nsga2_vs_nsga3_150profiles,STU_0484,nsga2,nsga3,30,-0.01969273132459854,-2.140925808357037
main_nsga2_vs_nsga3_150profiles,STU_0485,nsga2,nsga3,30,-0.017516824817803235,-1.901403659591383
main_nsga2_vs_nsga3_150profiles,STU_0487,nsga2,nsga3,30,-0.024003891087979325,-1.2682585129700634
main_nsga2_vs_nsga3_150profiles,STU_0488,nsga2,nsga3,30,-0.04394386168699607,-3.697731508856253
main_nsga2_vs_nsga3_150profiles,STU_0490,nsga2,nsga3,30,-0.003543517766391006,-0.8940626359749744
