x0,obj_1,obj_2,obj_3,obj_4,constraint_violation,feasible,profile_id,algorithm,seed,runtime_sec
"['osm_2272453696', 'osm_2272453701', 'osm_2510316009', 'osm_2510316007', 'osm_2510315990', 'osm_2272453694', 'osm_602604509', 'osm_2510315876', 'osm_2272453692', 'osm_2510315869', 'osm_2510315866', 'osm_2510315862', 'osm_2510315863', 'osm_2510315864', 'osm_2510315857', 'osm_2510315855', 'osm_2510315853', 'osm_2510315852', 'osm_2510315849', 'osm_2510315612', 'osm_2510315600', 'osm_2510315561', 'osm_2510315553', 'osm_2510315550', 'osm_2510315529', 'osm_2272453684', 'osm_2272453682', 'osm_201420244', 'osm_599930089', 'osm_599930086', 'osm_599926801', 'osm_599926795', 'osm_599926794', 'osm_2510315491', 'osm_2510315484', 'osm_2510315481', 'osm_2510315476', 'osm_2510315473', 'osm_13371726894', 'osm_13371726892', 'osm_615066658', 'osm_577551052', 'osm_615066654', 'osm_2510314658', 'osm_615066653', 'osm_2510314629', 'osm_577550841', 'osm_6182428405', 'osm_6182428406', 'osm_30374611', 'osm_508565156', 'osm_2828409789', 'osm_2828409788', 'osm_503350266', 'osm_10678109173', 'osm_10678109769', 'osm_10678086361', 'osm_13318515908', 'osm_156899755', 'osm_13676286574', 'osm_13676286573', 'osm_13676286584', 'osm_13676286585', 'osm_156915419', 'osm_8175990770', 'osm_13688224022', 'osm_8176307123', 'osm_5882213666', 'osm_8176307721', 'osm_8176307720', 'osm_14020171431', 'osm_13955311343', 'osm_14046382080', 'osm_14046382079', 'osm_13955311332']",120.06797101449277,0.0,0.0,8.821389229085597e-07,7.56738576704438,False,STU_0001,nsga2,0,12.412770916998852
"['osm_2272453696', 'osm_2272453701', 'osm_2510316009', 'osm_2510316007', 'osm_2510315990', 'osm_2272453694', 'osm_602604509', 'osm_2510315876', 'osm_2272453692', 'osm_2510315869', 'osm_2510315866', 'osm_2510315862', 'osm_2510315863', 'osm_2510315864', 'osm_2510315857', 'osm_2510315855', 'osm_2510315853', 'osm_2510315852', 'osm_2510315849', 'osm_2510315612', 'osm_2510315600', 'osm_2510315561', 'osm_2510315553', 'osm_2510315550', 'osm_2510315529', 'osm_2272453684', 'osm_2272453682', 'osm_201420244', 'osm_599930089', 'osm_599930086', 'osm_599926801', 'osm_599926795', 'osm_599926794', 'osm_2510315491', 'osm_2510315484', 'osm_2510315481', 'osm_2510315476', 'osm_2510315473', 'osm_13371726894', 'osm_13371726892', 'osm_615066658', 'osm_577551052', 'osm_615066654', 'osm_2510314658', 'osm_615066653', 'osm_2510314629', 'osm_577550841', 'osm_6182428405', 'osm_6182428406', 'osm_30374611', 'osm_508565156', 'osm_2828409789', 'osm_2828409788', 'osm_503350266', 'osm_10678109173', 'osm_10678109769', 'osm_10678086361', 'osm_13318515908', 'osm_156899755', 'osm_13676286574', 'osm_13676286573', 'osm_13676286584', 'osm_13676286585', 'osm_13688224012', 'osm_8175185197', 'osm_13688224022', 'osm_5882213666', 'osm_8176307721', 'osm_8176307720', 'osm_14020171431', 'osm_13955311343', 'osm_14046382080', 'osm_14046382079', 'osm_13955311332']",120.07590579710147,0.0,0.0,8.811518280582575e-07,7.568018034963572,False,STU_0001,nsga2,0,12.412770916998852
"['osm_2272453696', 'osm_2272453701', 'osm_2510316009', 'osm_2510316007', 'osm_2510315990', 'osm_2272453694', 'osm_602604509', 'osm_2510315876', 'osm_2272453692', 'osm_2510315869', 'osm_2510315866', 'osm_2510315862', 'osm_2510315863', 'osm_2510315864', 'osm_2510315857', 'osm_2510315855', 'osm_2510315853', 'osm_2510315852', 'osm_2510315849', 'osm_2510315612', 'osm_2510315600', 'osm_2510315561', 'osm_2510315553', 'osm_2510315550', 'osm_2510315529', 'osm_2272453684', 'osm_2272453682', 'osm_201420244', 'osm_599930089', 'osm_599930086', 'osm_599926801', 'osm_599926795', 'osm_599926794', 'osm_2510315491', 'osm_2510315484', 'osm_2510315481', 'osm_2510315476', 'osm_2510315473', 'osm_13371726894', 'osm_13371726892', 'osm_615066658', 'osm_577551052', 'osm_615066654', 'osm_2510314658', 'osm_615066653', 'osm_2510314629', 'osm_577550841', 'osm_6182428405', 'osm_6182428406', 'osm_30374611', 'osm_508565156', 'osm_2828409789', 'osm_2828409788', 'osm_503350266', 'osm_10678109173', 'osm_10678109769', 'osm_10678086361', 'osm_13318515908', 'osm_156899755', 'osm_13676286574', 'osm_13676286573', 'osm_13676286584', 'osm_13676286585', 'osm_156915419', 'osm_8175990770', 'osm_13688224022', 'osm_5882213666', 'osm_8176307721', 'osm_8176307720', 'osm_14020171431', 'osm_13955311343', 'osm_14046382080', 'osm_14046382079', 'osm_13955311332']",120.07625603864736,0.0,0.0,8.811082828907857e-07,7.568045943288772,False,STU_0001,nsga2,0,12.412770916998852
"['osm_2272453696', 'osm_2272453701', 'osm_2510316009', 'osm_2510316007', 'osm_2510315990', 'osm_2272453694', 'osm_602604509', 'osm_2510315876', 'osm_2272453692', 'osm_2510315869', 'osm_2510315866', 'osm_2510315862', 'osm_2510315863', 'osm_2510315864', 'osm_2510315857', 'osm_2510315855', 'osm_2510315853', 'osm_2510315852', 'osm_2510315849', 'osm_2510315612', 'osm_2510315600', 'osm_2510315561', 'osm_2510315553', 'osm_2510315550', 'osm_2510315529', 'osm_2272453684', 'osm_2272453682', 'osm_201420244', 'osm_599930089', 'osm_599930086', 'osm_599926801', 'osm_599926795', 'osm_599926794', 'osm_2510315491', 'osm_2510315484', 'osm_2510315481', 'osm_2510315476', 'osm_2510315473', 'osm_13371726894', 'osm_13371726892', 'osm_615066658', 'osm_577551052', 'osm_615066654', 'osm_2510314658', 'osm_615066653', 'osm_2510314629', 'osm_577550841', 'osm_6182428405', 'osm_6182428406', 'osm_30374611', 'osm_508565156', 'osm_2828409789', 'osm_2828409788', 'osm_503350266', 'osm_10678109173', 'osm_10678109769', 'osm_10678086361', 'osm_13318515908', 'osm_156899755', 'osm_278744370', 'osm_13676286584', 'osm_13676286585', 'osm_13688224012', 'osm_8175185197', 'osm_13688224022', 'osm_5882213666', 'osm_8176307721', 'osm_8176307720', 'osm_14020171431', 'osm_13955311342', 'osm_13955311331', 'osm_14046382081', 'osm_13955311333', 'osm_14046382092', 'osm_14046382089', 'osm_13955311332']",120.10444444444445,0.0,0.0,8.776107128793953e-07,7.570292082289373,False,STU_0001,nsga2,0,12.412770916998852
"['osm_2272453696', 'osm_2272453701', 'osm_2510316009', 'osm_2510316007', 'osm_2510315990', 'osm_2272453694', 'osm_602604509', 'osm_2510315876', 'osm_2272453692', 'osm_2510315869', 'osm_2510315866', 'osm_2510315862', 'osm_2510315863', 'osm_2510315864', 'osm_2510315857', 'osm_2510315855', 'osm_2510315853', 'osm_2510315852', 'osm_2510315849', 'osm_2510315612', 'osm_2510315600', 'osm_2510315561', 'osm_2510315553', 'osm_2510315550', 'osm_2510315529', 'osm_2272453684', 'osm_2272453682', 'osm_201420244', 'osm_599930089', 'osm_599930086', 'osm_599926801', 'osm_599926795', 'osm_599926794', 'osm_2510315491', 'osm_2510315484', 'osm_2510315481', 'osm_2510315476', 'osm_2510315473', 'osm_13371726894', 'osm_13371726892', 'osm_615066658', 'osm_577551052', 'osm_615066654', 'osm_2510314658', 'osm_615066653', 'osm_2510314629', 'osm_577550841', 'osm_6182428405', 'osm_6182428406', 'osm_30374611', 'osm_508565156', 'osm_2828409789', 'osm_2828409788', 'osm_503350266', 'osm_10678109173', 'osm_10678109769', 'osm_10678086361', 'osm_13318515908', 'osm_156899755', 'osm_278744370', 'osm_13676286584', 'osm_13676286585', 'osm_13688224012', 'osm_8175185197', 'osm_13688224022', 'osm_8176307123', 'osm_5882213666', 'osm_8176307721', 'osm_8176307720', 'osm_14020171431', 'osm_13955311343', 'osm_14046382080', 'osm_14046382079', 'osm_13955311332']",120.1428381642512,0.0,0.0,8.728692068027399e-07,7.57335141214495,False,STU_0001,nsga2,0,12.412770916998852
"['osm_2272453696', 'osm_2272453701', 'osm_2510316009', 'osm_2510316007', 'osm_2510315990', 'osm_2272453694', 'osm_602604509', 'osm_2510315876', 'osm_2272453692', 'osm_2510315869', 'osm_2510315866', 'osm_2510315862', 'osm_2510315863', 'osm_2510315864', 'osm_2510315857', 'osm_2510315855', 'osm_2510315853', 'osm_2510315852', 'osm_2510315849', 'osm_2510315612', 'osm_2510315600', 'osm_2510315561', 'osm_2510315553', 'osm_2510315550', 'osm_2510315529', 'osm_2272453684', 'osm_2272453682', 'osm_201420244', 'osm_599930089', 'osm_599930086', 'osm_599926801', 'osm_599926795', 'osm_599926794', 'osm_2510315491', 'osm_2510315484', 'osm_2510315481', 'osm_2510315476', 'osm_2510315473', 'osm_13371726894', 'osm_13371726892', 'osm_615066658', 'osm_577551052', 'osm_615066654', 'osm_2510314658', 'osm_615066653', 'osm_2510314629', 'osm_577550841', 'osm_614475888', 'osm_6182428406', 'osm_30374611', 'osm_508565156', 'osm_2828409789', 'osm_2828409788', 'osm_503350266', 'osm_10678109173', 'osm_10678109769', 'osm_10678086361', 'osm_13318515908', 'osm_156899755', 'osm_278744370', 'osm_13676286584', 'osm_13676286585', 'osm_13688224012', 'osm_8175185197', 'osm_13688224022', 'osm_8176307123', 'osm_5882213666', 'osm_8176307721', 'osm_8176307720', 'osm_14020171431', 'osm_13955311343', 'osm_14046382080', 'osm_14046382079', 'osm_13955311332']",120.1428381642512,0.0,0.0,8.728692068027399e-07,7.57335141214495,False,STU_0001,nsga2,0,12.412770916998852
"['osm_2272453696', 'osm_2272453701', 'osm_2510316009', 'osm_2510316007', 'osm_2510315990', 'osm_2272453694', 'osm_602604509', 'osm_2510315876', 'osm_2272453692', 'osm_2510315869', 'osm_2510315866', 'osm_2510315862', 'osm_2510315863', 'osm_2510315864', 'osm_2510315857', 'osm_2510315855', 'osm_2510315853', 'osm_2510315852', 'osm_2510315849', 'osm_2510315612', 'osm_2510315600', 'osm_2510315561', 'osm_2510315553', 'osm_2510315550', 'osm_2510315529', 'osm_2272453684', 'osm_2272453682', 'osm_201420244', 'osm_599930089', 'osm_599930086', 'osm_599926801', 'osm_599926795', 'osm_599926794', 'osm_2510315491', 'osm_2510315484', 'osm_2510315481', 'osm_2510315476', 'osm_2510315473', 'osm_13371726894', 'osm_13371726892', 'osm_615066658', 'osm_577551052', 'osm_615066654', 'osm_2510314658', 'osm_615066653', 'osm_2510314629', 'osm_577550841', 'osm_6182428405', 'osm_6182428406', 'osm_30374611', 'osm_508565156', 'osm_2828409789', 'osm_2828409788', 'osm_503350266', 'osm_10678109173', 'osm_10678109769', 'osm_10678086361', 'osm_13318515908', 'osm_156899755', 'osm_278744370', 'osm_13676286584', 'osm_13676286585', 'osm_156915419', 'osm_8175990770', 'osm_13688224022', 'osm_8176307123', 'osm_5882213666', 'osm_8176307721', 'osm_8176307720', 'osm_14020171431', 'osm_13955311343', 'osm_14046382080', 'osm_14046382079', 'osm_13955311332']",120.14318840579709,0.0,0.0,8.728260711965419e-07,7.573379320470149,False,STU_0001,nsga2,0,12.412770916998852
"['osm_2272453696', 'osm_2272453701', 'osm_2510316009', 'osm_2510316007', 'osm_2510315990', 'osm_2272453694', 'osm_602604509', 'osm_2510315876', 'osm_2272453692', 'osm_2510315869', 'osm_2510315866', 'osm_2510315862', 'osm_2510315863', 'osm_2510315864', 'osm_2510315857', 'osm_2510315855', 'osm_2510315853', 'osm_2510315852', 'osm_2510315849', 'osm_2510315612', 'osm_2510315600', 'osm_2510315561', 'osm_2510315553', 'osm_2510315550', 'osm_2510315529', 'osm_2272453684', 'osm_2272453682', 'osm_201420244', 'osm_599930089', 'osm_599930086', 'osm_599926801', 'osm_599926795', 'osm_599926794', 'osm_2510315491', 'osm_2510315484', 'osm_2510315481', 'osm_2510315476', 'osm_2510315473', 'osm_13371726894', 'osm_13371726892', 'osm_615066658', 'osm_577551052', 'osm_615066654', 'osm_2510314658', 'osm_615066653', 'osm_2510314629', 'osm_577550841', 'osm_614475888', 'osm_6182428406', 'osm_30374611', 'osm_508565156', 'osm_2828409789', 'osm_2828409788', 'osm_503350266', 'osm_10678109173', 'osm_10678109769', 'osm_10678086361', 'osm_13318515908', 'osm_156899755', 'osm_278744370', 'osm_13676286584', 'osm_13676286585', 'osm_13688224012', 'osm_8175185197', 'osm_13688224022', 'osm_5882213666', 'osm_8176307721', 'osm_8176307720', 'osm_14020171431', 'osm_13955311343', 'osm_14046382080', 'osm_14046382079', 'osm_13955311332']",120.15112318840579,0.0,0.0,8.718493970105712e-07,7.574011588389343,False,STU_0001,nsga2,0,12.412770916998852
"['osm_2272453696', 'osm_2272453701', 'osm_2510316009', 'osm_2510316007', 'osm_2510315990', 'osm_2272453694', 'osm_602604509', 'osm_2510315876', 'osm_2272453692', 'osm_2510315869', 'osm_2510315866', 'osm_2510315862', 'osm_2510315863', 'osm_2510315864', 'osm_2510315857', 'osm_2510315855', 'osm_2510315853', 'osm_2510315852', 'osm_2510315849', 'osm_2510315612', 'osm_2510315600', 'osm_2510315561', 'osm_2510315553', 'osm_2510315550', 'osm_2510315529', 'osm_2272453684', 'osm_2272453682', 'osm_201420244', 'osm_599930089', 'osm_599930086', 'osm_599926801', 'osm_599926795', 'osm_599926794', 'osm_2510315491', 'osm_2510315484', 'osm_2510315481', 'osm_2510315476', 'osm_2510315473', 'osm_13371726894', 'osm_13371726892', 'osm_615066658', 'osm_577551052', 'osm_615066654', 'osm_2510314658', 'osm_615066653', 'osm_2510314629', 'osm_577550841', 'osm_6182428405', 'osm_6182428406', 'osm_30374611', 'osm_508565156', 'osm_2828409789', 'osm_2828409788', 'osm_503350266', 'osm_10678109173', 'osm_10678109769', 'osm_10678086361', 'osm_13318515908', 'osm_156899755', 'osm_278744370', 'osm_13676286584', 'osm_13676286585', 'osm_13688224012', 'osm_8175185197', 'osm_13688224022', 'osm_5882213666', 'osm_8176307721', 'osm_8176307720', 'osm_14020171431', 'osm_13955311343', 'osm_14046382080', 'osm_14046382079', 'osm_13955311332']",120.15112318840579,0.0,0.0,8.718493970105712e-07,7.574011588389343,False,STU_0001,nsga2,0,12.412770916998852
"['osm_2272453696', 'osm_2272453701', 'osm_2510316009', 'osm_2510316007', 'osm_2510315990', 'osm_2272453694', 'osm_602604509', 'osm_2510315876', 'osm_2272453692', 'osm_2510315869', 'osm_2510315866', 'osm_2510315862', 'osm_2510315863', 'osm_2510315864', 'osm_2510315857', 'osm_2510315855', 'osm_2510315853', 'osm_2510315852', 'osm_2510315849', 'osm_2510315612', 'osm_2510315600', 'osm_2510315561', 'osm_2510315553', 'osm_2510315550', 'osm_2510315529', 'osm_2272453684', 'osm_2272453682', 'osm_201420244', 'osm_599930089', 'osm_599930086', 'osm_599926801', 'osm_599926795', 'osm_599926794', 'osm_2510315491', 'osm_2510315484', 'osm_2510315481', 'osm_2510315476', 'osm_2510315473', 'osm_13371726894', 'osm_13371726892', 'osm_615066658', 'osm_577551052', 'osm_615066654', 'osm_2510314658', 'osm_615066653', 'osm_2510314629', 'osm_577550841', 'osm_6182428405', 'osm_6182428406', 'osm_30374611', 'osm_508565156', 'osm_2828409789', 'osm_2828409788', 'osm_503350266', 'osm_10678109173', 'osm_10678109769', 'osm_10678086361', 'osm_13318515908', 'osm_156899755', 'osm_278744370', 'osm_13676286584', 'osm_13676286585', 'osm_156915419', 'osm_8175990770', 'osm_13688224022', 'osm_5882213666', 'osm_8176307721', 'osm_8176307720', 'osm_14020171431', 'osm_13955311343', 'osm_14046382080', 'osm_14046382079', 'osm_13955311332']",120.15147342995168,0.0,0.0,8.718063118084984e-07,7.574039496714542,False,STU_0001,nsga2,0,12.412770916998852
